Name,RIC,Region,Size,Frequency
MSCI World IMI Price Index USD,.dMIWO000I0PUS,DM World,Allcap,EndOfDay
MSCI Emerging Markets IMI Price Index USD,.dMIEF000I0PUS,EM World,Allcap,EndOfDay
MSCI ACWI IMI Price Index USD,.dMIWD000I0PUS,AC World,Allcap,EndOfDay
MSCI North America IMI Price Index USD,.dMINA000I0PUS,North America,Allcap,EndOfDay
MSCI Europe IMI Price Index USD,.dMIEU000I0PUS,DM Europe,Allcap,EndOfDay
MSCI Europe Ex United Kingdom IMI Price Index USD,.dMIUG000I0PUS,DM Europe ex UK,Allcap,EndOfDay
MSCI Emerging Markets EMEA IMI Price Index USD,.dMIEE000I0PUS,EMEA,Allcap,EndOfDay
MSCI AC Asia Pacific Ex Japan IMI Price Index USD,.dMISX000I0PUS,DM Asia Pacific ex Japan,Allcap,EndOfDay
MSCI AC Asia Pacific IMI Price Index USD,.dMIAP000I0PUS,DM Asia Pacific,Allcap,EndOfDay
MSCI Emerging Markets Europe IMI Price Index USD,.dMIMU000I0PUS,EM Europe,Allcap,EndOfDay
MSCI AC Europe IMI Price Index USD,.dMIER000I0PUS,AC Europe,Allcap,EndOfDay
MSCI World Ex United States IMI Price Index USD,.dMIWOU00I0PUS,DM World ex USA,Allcap,EndOfDay
MSCI AC Asia Ex Japan IMI Price Index USD,.dMIAX000I0PUS,DM+EM Asia ex Japan,Allcap,EndOfDay
MSCI AC Asia Pacific Ex Japan IMI Price Index USD,.dMISX000I0PUS,DM+EM Asia Pacific ex Japan,Allcap,EndOfDay
MSCI Canada IMI Price Index USD,.dMICA000I0PUS,Canada,Allcap,EndOfDay
MSCI United States IMI Price Index USD,.dMIUS000I0PUS,USA,Allcap,EndOfDay
MSCI Austria IMI Price Index USD,.dMIAT000I0PUS,Austria,Allcap,EndOfDay
MSCI Belgium IMI Price Index USD,.dMIBE000I0PUS,Belgium,Allcap,EndOfDay
MSCI Denmark IMI Price Index USD,.dMIDK000I0PUS,Denmark,Allcap,EndOfDay
MSCI Finland IMI Price Index USD,.dMIFI000I0PUS,Finland,Allcap,EndOfDay
MSCI France IMI Price Index USD,.dMIFR000I0PUS,France,Allcap,EndOfDay
MSCI Germany IMI Price Index USD,.dMIDE000I0PUS,Germany,Allcap,EndOfDay
MSCI Ireland IMI Price Index USD,.dMIIE000I0PUS,Ireland,Allcap,EndOfDay
MSCI Israel IMI Price Index USD,.dMIIL000I0PUS,Israel,Allcap,EndOfDay
MSCI Italy IMI Price Index USD,.dMIIT000I0PUS,Italy,Allcap,EndOfDay
MSCI Netherlands IMI Price Index USD,.dMINL000I0PUS,Netherlands,Allcap,EndOfDay
MSCI Norway IMI Price Index USD,.dMINO000I0PUS,Norway,Allcap,EndOfDay
MSCI Portugal IMI Price Index USD,.dMIPT000I0PUS,Portugal,Allcap,EndOfDay
MSCI Spain IMI Price Index USD,.dMIES000I0PUS,Spain,Allcap,EndOfDay
MSCI Sweden IMI Price Index USD,.dMISE000I0PUS,Sweden,Allcap,EndOfDay
MSCI Switzerland IMI Price Index USD,.dMICH000I0PUS,Switzerland,Allcap,EndOfDay
MSCI United Kingdom IMI Price Index USD,.dMIGB000I0PUS,United Kingdom,Allcap,EndOfDay
MSCI Australia IMI Price Index USD,.dMIAU000I0PUS,Australia,Allcap,EndOfDay
MSCI Hong Kong IMI Price Index USD,.dMIHK000I0PUS,Hong Kong,Allcap,EndOfDay
MSCI Japan IMI Price Index USD,.dMIJP000I0PUS,Japan,Allcap,EndOfDay
MSCI New Zealand IMI Price Index USD,.dMINZ000I0PUS,New Zealand,Allcap,EndOfDay
MSCI Singapore IMI Price Index USD,.dMISG000I0PUS,Singapore,Allcap,EndOfDay
MSCI Brazil IMI Price Index USD,.dMIBR000I0PUS,Brazil,Allcap,EndOfDay
MSCI Chile IMI Price Index USD,.dMICL000I0PUS,Chile,Allcap,EndOfDay
MSCI Colombia IMI Price Index USD EndOfDay,.dMICO000I0PUS,Colombia,Allcap,EndOfDay
MSCI Mexico IMI Price Index USD,.dMIMX000I0PUS,Mexico,Allcap,EndOfDay
MSCI Czech Republic IMI Price Index USD EndOfDay,.dMICZ000I0PUS,Czech Republic,Allcap,EndOfDay
MSCI Egypt IMI Price Index USD,.dMIEG000I0PUS,Egypt,Allcap,EndOfDay
MSCI Greece IMI Price Index USD,.dMIGR000I0PUS,Greece,Allcap,EndOfDay
MSCI Hungary IMI Price Index USD,.dMIHU000I0PUS,Hungary,Allcap,EndOfDay
MSCI India IMI Price Index USD,.dMIIN000I0PUS,India,Allcap,EndOfDay
MSCI Kuwait IMI Price Index USD,.dMIKW000I0PUS,Kuwait,Allcap,EndOfDay
MSCI Poland IMI Price Index USD,.dMIPL000I0PUS,Poland,Allcap,EndOfDay
MSCI Qatar IMI Price Index USD,.dMIQA000I0PUS,Qatar,Allcap,EndOfDay
MSCI Saudi Arabia IMI Price Index USD,.dMISAPz0I0PUS,Saudi Arabia,Allcap,EndOfDay
MSCI South Africa IMI Price Index USD,.dMIZA000I0PUS,South Africa,Allcap,EndOfDay
MSCI Turkey IMI Price Index USD,.dMITR000I0PUS,Turkey,Allcap,EndOfDay
MSCI United Arab Emirates IMI Price Index USD,.dMIAE000I0PUS,United Arab Emirates,Allcap,EndOfDay
MSCI China IMI Price Index USD,.dMICN000I0PUS,China,Allcap,EndOfDay
MSCI Indonesia IMI Price Index USD,.dMIID000I0PUS,Indonesia,Allcap,EndOfDay
MSCI Korea IMI Price Index USD,.dMIKR000I0PUS,Korea,Allcap,EndOfDay
MSCI Malaysia IMI Price Index USD,.dMIMY000I0PUS,Malaysia,Allcap,EndOfDay
MSCI Philippines IMI Price Index USD,.dMIPH000I0PUS,Philippines,Allcap,EndOfDay
MSCI Taiwan IMI Price Index USD,.dMITW000I0PUS,Taiwan,Allcap,EndOfDay
MSCI Thailand IMI Price Index USD,.dMITH000I0PUS,Thailand,Allcap,EndOfDay
MSCI World Price Index USD Index,.mMIWO00000PUS,DM World,Main,Monthly
MSCI EM Price Index USD,.mMIEF00000PUS,EM World,Main,Monthly
MSCI ACWI Price Index USD,.mMIWD00000PUS,AC World,Main,Monthly
MSCI North America Price Index USD,.mMINA00000PUS,North America,Main,Monthly
MSCI Europe Price Index USD,.mMIEU00000PUS,DM Europe,Main,Monthly
MSCI Europe ex UK Price Index USD,.mMIUG00000PUS,DM Europe ex UK,Main,Monthly
MSCI EM EMEA Price Index USD,.mMIEE00000PUS,EMEA,Main,Monthly
MSCI Pacific ex Japan Price Index USD,.mMIPCJ0000PUS,DM Asia Pacific ex Japan,Main,Monthly
MSCI Pacific Price Index USD,.mMIPC00000PUS,DM Asia Pacific,Main,Monthly
MSCI EM Europe Price Index USD,.mMIMU00000PUS,EM Europe,Main,Monthly
MSCI AC Europe Price Index USD,.mMIER00000PUS,AC Europe,Main,Monthly
MSCI World Index ex USA Price Index USD,.mMIWOU0000PUS,DM World ex USA,Main,Monthly
MSCI AC Asia ex Japan Price Index USD,.mMIAX00000PUS,DM+EM Asia ex Japan,Main,Monthly
MSCI AC Asia Pacific ex Japan Price Index USD,.mMIAPJ0000PUS,DM+EM Asia Pacific ex Japan,Main,Monthly
MSCI Canada Price Index USD,.mMICA00000PUS,Canada,Main,Monthly
MSCI United States Price Index USD,.mMIUS00000PUS,USA,Main,Monthly
MSCI Austria Price Index USD Monthly,.mMIAT00000PUS,Austria,Main,Monthly
MSCI Belgium Price Index USD Monthly,.mMIBE00000PUS,Belgium,Main,Monthly
MSCI Denmark Price Index USD Monthly,.mMIDK00000PUS,Denmark,Main,Monthly
MSCI Finland Price Index USD Monthly,.mMIFI00000PUS,Finland,Main,Monthly
MSCI France Price Index USD Monthly,.mMIFR00000PUS,France,Main,Monthly
MSCI Germany Price Index USD Monthly,.mMIDE00000PUS,Germany,Main,Monthly
MSCI Ireland Price Index USD Monthly,.mMIIE00000PUS,Ireland,Main,Monthly
MSCI Israel Price Index USD,.mMIIL00000PUS,Israel,Main,Monthly
MSCI Italy Price Index USD Monthly,.mMIIT00000PUS,Italy,Main,Monthly
MSCI Netherlands Price Index USD Monthly,.mMINL00000PUS,Netherlands,Main,Monthly
MSCI Norway Price Index USD Monthly,.mMINO00000PUS,Norway,Main,Monthly
MSCI Portugal Price Index USD Monthly,.mMIPT00000PUS,Portugal,Main,Monthly
MSCI Spain Price Index USD Monthly,.mMIES00000PUS,Spain,Main,Monthly
MSCI Sweden Price Index USD Monthly,.mMISE00000PUS,Sweden,Main,Monthly
MSCI Switzerland Price Index USD Monthly,.mMICH00000PUS,Switzerland,Main,Monthly
MSCI United Kingdom Price Index USD Monthly,.mMIGB00000PUS,United Kingdom,Main,Monthly
MSCI Australia Price Index USD Monthly,.mMIAU00000PUS,Australia,Main,Monthly
MSCI HONG KONG Price Index USD,.mMIHK00000PUS,Hong Kong,Main,Monthly
MSCI Japan Price Index USD Monthly,.mMIJP00000PUS,Japan,Main,Monthly
MSCI New Zealand Price Index USD Monthly,.mMINZ00000PUS,New Zealand,Main,Monthly
MSCI SINGAPORE Price Index USD,.mMISG00000PUS,Singapore,Main,Monthly
MSCI Brazil Price Index USD,.mMIBR00000PUS,Brazil,Main,Monthly
MSCI Chile Price Index USD,.mMICL00000PUS,Chile,Main,Monthly
MSCI Colombia Price Index USD,.mMICO00000PUS,Colombia,Main,Monthly
MSCI Mexico Price Index USD,.mMIMX00000PUS,Mexico,Main,Monthly
MSCI Czech Republic Price Return Index USD,.mMICZ00000PUS,Czech Republic,Main,Monthly
MSCI Egypt Price Index USD,.mMIEG00000PUS,Egypt,Main,Monthly
MSCI Greece Price Index USD,.mMIGR00000PUS,Greece,Main,Monthly
MSCI Hungary Price Index USD,.mMIHU00000PUS,Hungary,Main,Monthly
MSCI India Price Index USD Monthly,.mMIIN00000PUS,India,Main,Monthly
MSCI Kuwait Price Index USD,.mMIKW00000PUS,Kuwait,Main,Monthly
MSCI Poland Price Index USD Monthly,.mMIPL00000PUS,Poland,Main,Monthly
MSCI Qatar Price Index USD Monthly,.mMIQA00000PUS,Qatar,Main,Monthly
MSCI SAUDI ARABIA Price Return USD,.mMISA00000PUS,Saudi Arabia,Main,Monthly
MSCI South Africa Price Index USD Monthly,.mMIZA00000PUS,South Africa,Main,Monthly
MSCI Turkey Price Index USD Monthly,.mMITR00000PUS,Turkey,Main,Monthly
MSCI United Arab Emirates Price Index USD Monthly,.mMIAE00000PUS,United Arab Emirates,Main,Monthly
MSCI China Price Index USD Monthly,.mMICN00000PUS,China,Main,Monthly
MSCI Indonesia Price Index USD,.mMIID00000PUS,Indonesia,Main,Monthly
MSCI Korea Price Index USD Monthly,.mMIKR00000PUS,Korea,Main,Monthly
MSCI Malaysia Price Index USD,.mMIMY00000PUS,Malaysia,Main,Monthly
MSCI Philippines Price Index USD Monthly,.mMIPH00000PUS,Philippines,Main,Monthly
MSCI Taiwan Price Index USD,.mMITW00000PUS,Taiwan,Main,Monthly
MSCI Thailand Price Index USD Monthly,.mMITH00000PUS,Thailand,Main,Monthly
